d,price_usd,rhodl_1m
2014-07-01,642.9565967271,3444.1952
2014-07-02,651.2983477499,3432.4283
2014-07-03,646.4133891303,3418.9833
2014-07-04,630.6355029223,3402.0671999999995
2014-07-05,630.4683419053,3386.3077
2014-07-06,634.6726744594,3371.561
2014-07-07,622.8549789597,3346.1801333333333
2014-07-08,624.8943310929,3292.0813
2014-07-09,621.9390917592,3223.7939333333334
2014-07-10,616.5228497954,3146.5036666666665
2014-07-11,634.4943781414,3027.1857000000005
2014-07-12,636.9239579345,2909.7340333333336
2014-07-13,629.8757504383,2791.4431
2014-07-14,619.1974590883,2674.0949666666666
2014-07-15,621.9346014027,2559.7495333333336
2014-07-16,616.3518822326,2462.4651999999996
2014-07-17,624.2592749854,2381.4845
2014-07-18,630.7501402688,2348.4561333333336
2014-07-19,629.1733644068,2349.1675333333333
2014-07-20,625.2486762127,2352.813366666667
2014-07-21,621.3053313852,2358.6877999999997
2014-07-22,619.8232644652,2359.578666666667
2014-07-23,619.7728167738,2352.995066666667
2014-07-24,602.8796455289,2347.1356666666666
2014-07-25,601.5785143191,2334.8646
2014-07-26,594.7026072472,2323.361966666667
2014-07-27,591.5754441847,2310.268966666666
2014-07-28,587.4930049679,2294.3447666666666
2014-07-29,584.1123933372,2281.6478333333334
2014-07-30,562.9146250731,2264.474166666667
2014-07-31,581.9755619521,2223.6554666666666
2014-08-01,596.5067592051,2184.165
2014-08-02,589.757261543,2145.1486333333332
2014-08-03,586.7537367037,2105.9361333333336
2014-08-04,587.6083354763,2084.728833333333
2014-08-05,581.8819886032,2065.0206000000003
2014-08-06,582.2483714202,2058.9314
2014-08-07,586.0466335476,2079.3693333333335
2014-08-08,589.0244126242,2097.2047333333335
2014-08-09,588.9785213326,2115.8897333333334
2014-08-10,589.3735020456,2131.2921
2014-08-11,573.4414839275,2130.8315
2014-08-12,568.3075201636,2131.139066666667
2014-08-13,548.3701753361,2133.6759333333334
2014-08-14,505.1074997078,2137.584233333333
2014-08-15,500.3230601327,2139.744133333333
2014-08-16,521.7479628872,2139.8721
2014-08-17,497.7646589714,2143.1796666666664
2014-08-18,468.9579181765,2141.2616000000003
2014-08-19,486.7943506721,2131.7146333333335
2014-08-20,515.1203538866,2124.3995666666665
2014-08-21,519.3078521333,2114.7183666666665
2014-08-22,516.1593687902,2111.583
2014-08-23,497.1257594974,2107.2113999999997
2014-08-24,508.4307419638,2104.3446
2014-08-25,501.6102866745,2101.5214
2014-08-26,511.8523217417,2100.797833333333
2014-08-27,510.1623237873,2120.5605333333333
2014-08-28,506.2851516657,2144.7067333333334
2014-08-29,508.8665718878,2166.0477333333333
2014-08-30,501.2757232613,2181.0415000000003
2014-08-31,478.5114254822,2193.8433999999997
2014-09-01,474.5414897721,2207.2317333333335
2014-09-02,474.4306706604,2218.4518000000003
2014-09-03,473.9592033898,2187.4793333333337
2014-09-04,489.5552013442,2151.1541666666667
2014-09-05,478.7497828755,2110.540966666667
2014-09-06,480.6424918177,2072.6594
2014-09-07,478.3655008767,2040.1553333333334
2014-09-08,468.9754959088,2009.4312333333332
2014-09-09,473.5120271771,1983.6976666666667
2014-09-10,477.7784175921,1973.7142
2014-09-11,477.2706820573,1966.6250333333332
2014-09-12,473.9972822911,1954.7073666666665
2014-09-13,477.9609739918,1941.4140333333335
2014-09-14,475.6480639977,1929.4203333333332
2014-09-15,472.6556297487,1913.8924000000002
2014-09-16,464.1777545295,1893.0502999999999
2014-09-17,456.3398912916,1877.7950666666666
2014-09-18,426.880106955,1868.9120333333335
2014-09-19,393.8938907072,1861.8423666666667
2014-09-20,411.041342782,1856.8513999999998
2014-09-21,400.4045306838,1840.8363333333334
2014-09-22,400.8816221508,1829.2214333333334
2014-09-23,438.4918009936,1819.9047333333333
2014-09-24,423.7000917592,1805.8685333333335
2014-09-25,409.5377498539,1788.6314
2014-09-26,405.2982518995,1745.9607333333333
2014-09-27,400.5993345996,1698.4620666666667
2014-09-28,375.5499897721,1658.445
2014-09-29,373.0645578609,1618.7808333333332
2014-09-30,389.2640404115,1578.8107000000002
2014-10-01,382.9093658679,1536.0071333333333
2014-10-02,372.5256990064,1500.9280333333334
2014-10-03,357.6657136178,1494.2341333333331
2014-10-04,328.8261130918,1495.4653666666666
2014-10-05,322.826261543,1511.4860999999999
2014-10-06,326.8035327294,1522.4722
2014-10-07,333.5701949153,1537.4422333333334
2014-10-08,354.4073343074,1555.2054333333333
2014-10-09,361.7164248977,1567.5822333333335
2014-10-10,358.8903908101,1579.0241666666666
2014-10-11,361.9083769725,1585.0976
2014-10-12,377.8712437171,1593.1290666666669
