d,price_usd,address_100_1000
2013-11-21,720.7644252601,11497.0
2013-11-22,802.9169337183,11563.0
2013-11-23,834.2953399891,11542.0
2013-11-24,807.1666954997,11593.0
2013-11-25,816.243386616,11576.0
2013-11-26,916.0971601403,11530.0
2013-11-27,962.9105609117,11501.0
2013-11-28,1007.387163647,11578.0
2013-11-29,1128.7254880187,11588.0
2013-11-30,1119.2967147867,11545.0
2013-12-01,964.4857936879,11537.0
2013-12-02,1040.8082177089,11547.0
2013-12-03,1053.6210274483,11512.0
2013-12-04,1134.9322308884,11484.0
2013-12-05,1027.411772827,11482.0
2013-12-06,824.5817103378,11474.0
2013-12-07,703.7483760257,11404.0
2013-12-08,783.5733483343,11396.0
2013-12-09,896.079289889,11423.0
2013-12-10,977.165367329,11455.0
2013-12-11,875.4640342724,11523.0
2013-12-12,873.3248059877,11520.0
2013-12-13,879.156135301,11510.0
2013-12-14,852.856120526,11523.0
2013-12-15,864.0616578609,11534.0
2013-12-16,677.8941068013,11599.0
2013-12-17,682.626772706,11582.0
2013-12-18,526.1209763267,11522.0
2013-12-19,685.5251289597,11523.0
2013-12-20,600.2169542607,11532.0
2013-12-21,597.0335025482,11551.0
2013-12-22,615.0130352718,11554.0
2013-12-23,657.9266341555,11559.0
2013-12-24,650.6647451783,11614.0
2013-12-25,678.2901580947,11570.0
2013-12-26,749.9965949562,11566.0
2013-12-27,722.5705674927,11579.0
2013-12-28,715.8523630789,11591.0
2013-12-29,727.2712156634,11616.0
2013-12-30,735.7419970777,11634.0
2013-12-31,729.5575829106,11653.0
2014-01-01,752.4045499446,11629.0
2014-01-02,784.9549213144,11605.0
2014-01-03,807.2229390298,11597.0
2014-01-04,828.6020626184,11530.0
